# Passages: several sentences read as one connected text (spec §16).
# Columns: id	key	kind	title (es)	title (en)	level	topics
#
# The sentences themselves live in the sentences-*.tsv files and carry the
# passage key in their `passage` column, so a paragraph stays together in the
# file a human is reading and each of its sentences stays practisable on its own.
# `kind` is text or dialogue; a dialogue needs a speaker on every line.
# Leave the id off a new row — omit the column entirely, do not leave it empty:
# a leading tab shifts every field one place and the build reads a speaker as a
# skill. The build assigns an id and writes it back.
700048	billete-vuelta	dialogue	Un billete de ida y vuelta	A return ticket	a1	travel
700049	billete-metro	dialogue	Comprar un billete de metro	Buying a metro ticket	a1	travel
700050	mercado-fruta	dialogue	En el puesto de fruta	At the fruit stall	a1	shopping
700051	mercado-pan	dialogue	En la panadería	At the bakery	a1	shopping
700052	mercado-pescado	dialogue	En la pescadería	At the fishmonger	a1	shopping
700053	mercado-lista	dialogue	Con la lista de la compra	With the shopping list	a1	shopping
700054	familia-foto	dialogue	Una foto de la familia	A family photo	a1	family
700055	familia-fiesta	dialogue	En una fiesta	At a party	a1	family
700056	familia-hermana	dialogue	Hablar de una hermana	Talking about a sister	a1	family
700057	familia-nueva	dialogue	Presentar a la familia	Introducing the family	a1	family

# Making yourself understood: the repair moves, in four situations.
700058	no-entiendo	dialogue	No entiendo	I don't understand	a1	communication
700059	mas-despacio	dialogue	Más despacio, por favor	More slowly, please	a1	communication
700060	como-se-dice	dialogue	¿Cómo se dice?	How do you say it?	a1	communication,language
700061	escribir-la-direccion	dialogue	¿Me lo escribe?	Could you write it down?	a1	communication

# One situation per question word: when, which one, who, why.
700062	cuando-fiesta	dialogue	¿Cuándo es la fiesta?	When's the party?	a1	social,clock
700063	cual-camisa	dialogue	¿Cuál te gusta más?	Which one do you like better?	a1	shopping,clothes
700064	quien-oficina	dialogue	¿Quién es el nuevo jefe?	Who's the new boss?	a1	work,people
700065	porque-plan	dialogue	¿Por qué no vienes?	Why aren't you coming?	a1	social
700066	preguntar-contar	dialogue	¿Preguntar o contar?	Asking or telling?	a1	family,questions,grammar
700067	confirmar-verdad	dialogue	Está cerca, ¿verdad?	It's close, right?	a1	city,questions,grammar
700068	piso-nuevo	text	El piso nuevo	The new flat	a2	home
700069	mercado-ayer	text	Un día en el mercado	A day at the market	a2	shopping,food-drink
700070	domingo-campo	text	Un domingo en el campo	A Sunday in the country	a2	nature
700071	primer-dia	text	El primer día de trabajo	The first day at work	a2	work
700072	espalda-cita	text	Me dolía la espalda	My back hurt	a2	health,body
700073	casa-abuela	text	La casa de mi abuela	My grandmother's house	a2	family,home
700074	centro-tarde	text	Una tarde en el centro		a2	city
700075	clase-espanol	text	La clase de español		a2	school
700076	restaurante-nuevo	text	El restaurante nuevo		a2	restaurant
700077	vendi-guitarra	text	Vendí mi guitarra		a2	objects
700078	anoche-ruido	text	Anoche no dormí		a2	feelings
700079	ropa-viaje	text	La ropa del viaje		a2	clothes
700080	viaje-camion	text	El viaje en camión		a2	travel
700081	oficina-nueva	text	La oficina nueva		a2	work
700082	examen-espanol	text	El examen de español		a2	school
700083	cena-amigos	text	Una cena con amigos		a2	food-drink
700084	casa-vacia	text	La casa vacía		a2	home
700085	nevo-pueblo	text	Nevó en el pueblo		a2	nature
700086	perdi-bolso	text	Perdí el bolso		a2	objects
700087	cita-medico	text	La cita con el médico		a2	health
700088	mentira-pequena	text	Una mentira pequeña		a2	social
700089	partido-domingo	text	El partido del domingo		a2	sport
700090	camion-basura	text	El camión de la basura		a2	city
700091	compramos-refri	text	Compramos un refrigerador		a2	home
700092	camarera-nueva	text	La camarera nueva		a2	restaurant
700093	cai-bosque	text	Me caí en el bosque		a2	nature
700094	cuaderno-abuelo	text	El cuaderno de mi abuelo		a2	family
700095	cruzar-frontera	text	Cruzar la frontera		a2	travel
700096	noticias-manana	text	Las noticias de la mañana		a2	communication
700097	familia-antigua	text	Mi familia en una foto		a2	family
700098	centro-sanitario	text	En el centro sanitario		a2	health
700099	dia-nevo	text	El día que nevó		a2	weather
700100	proyecto-clase	text	El proyecto de la clase		a2	school
700101	mercado-sabado	text	El mercado del sábado		a2	shopping
700102	partido-ropa	text	El partido y la ropa limpia		a2	sport
700103	costo-viaje	text	Lo que costó el viaje		a2	numbers
700104	dos-primos	text	Mis dos primos		a2	people
700105	segundo-campo	text	Un segundo en el campo		a2	nature
700106	venis-vosotros	text	¿Venís vosotros?		a2	social
700107	segundo-sin-hablar	text	Un segundo sin hablar		a2	people
700108	entrevista-b1	dialogue	La entrevista de trabajo	The job interview	b1	work
700109	queja-b1	dialogue	Una queja en la tienda	A complaint in the shop	b1	shopping
700110	piso-b1	dialogue	El piso compartido	The shared flat	b1	home
700111	reciclar-b1	text	Reciclar en casa	Recycling at home	b1	environment
700112	consejo-b1	dialogue	Un consejo sobre el trabajo	A word of advice about work	b1	work
700113	clima-b1	text	Una noticia sobre el clima	A news item about the climate	b1	environment
700114	reserva-nombre	dialogue	Una reserva por teléfono	A booking over the phone	a1	travel
700115	queja-factura-b1	dialogue	Una factura que no es correcta	A bill that is not right	b1	money
700116	queja-paquete-b1	dialogue	El paquete que no llegó	The parcel that never came	b1	shopping
700117	queja-ruido-b1	dialogue	El ruido del vecino	The neighbour's noise	b1	city
700118	piso-gastos-b1	dialogue	Los gastos del piso	The flat's bills	b1	home
700119	piso-limpieza-b1	dialogue	Quién hace qué	Who does what	b1	home
700120	piso-visita-b1	dialogue	Una visita el fin de semana	A guest at the weekend	b1	home
700121	consejo-curso-b1	dialogue	Qué curso elegir	Which course to take	b1	school
700122	consejo-dinero-b1	dialogue	Ahorrar o gastar	Saving or spending	b1	money
700123	consejo-salud-b1	dialogue	Un consejo sobre la salud	A word of advice about health	b1	health
